
Started to play date: 12/2/2022 3:33:21 PM
Started level 1 in date: 12/2/2022 3:33:23 PM
Lost the level in date: 12/2/2022 3:33:26 PM
Started level 1 in date: 12/2/2022 3:33:27 PM
Lost the level in date: 12/2/2022 3:33:30 PM
Started level 1 in date: 12/2/2022 3:33:31 PM
Lost the level in date: 12/2/2022 3:33:34 PM
Started level 1 in date: 12/2/2022 3:33:36 PM
Started level 1 in date: 12/2/2022 3:33:38 PM
Started level 2 in date: 12/2/2022 3:33:40 PM
Started level 3 in date: 12/2/2022 3:33:44 PM
Started level 4 in date: 12/2/2022 3:33:49 PM
Started level 4 in date: 12/2/2022 3:33:56 PM
Started level 5 in date: 12/2/2022 3:34:01 PM
Started level 6 in date: 12/2/2022 3:34:06 PM
